,Type,AB,Site,Impurity,∆H (A-rich),∆H (B-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),Unnamed: 12,Descriptors ->,Unnamed: 14,AB ->,PBE_delta_H,PBE_latt_const,PBE_gap,Eps_elec,Eps_ion,Ion_rad,BP,MP,Density,At_wt,ICSD_vol,Cov_rad,Ion_Energy,At_rad_1,Elec_Aff,At_rad_2,At_vol,Mend_num,Ion_pot_1,Ion_pot_2,Thermal_expn,Sp_heat_cap,Therm_cond,Elec_cond,Heat_fusion,Heat_vap,Electronegativity,At_num,Period,Group,Valence,Ox_state,Ion_rad.1,BP.1,MP.1,Density.1,At_wt.1,ICSD_vol.1,Cov_rad.1,Ion_Energy.1,At_rad_1.1,Elec_Aff.1,At_rad_2.1,At_vol.1,Mend_num.1,Ion_pot_1.1,Ion_pot_2.1,Thermal_expn.1,Sp_heat_cap.1,Therm_cond.1,Elec_cond.1,Heat_fusion.1,Heat_vap.1,Electronegativity.1,At_num.1,Period.1,Group.1,Valence.1,Ox_state.1,Unnamed: 75,CM ->,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,Unnamed: 85,Elem ->,Ion_rad.2,BP.2,MP.2,Density.2,At_wt.2,ICSD_vol.2,Cov_rad.2,Ion_Energy.2,At_rad_1.2,Elec_Aff.2,At_rad_2.2,At_vol.2,Mend_num.2,Ion_pot_1.2,Ion_pot_2.2,Thermal_expn.2,Sp_heat_cap.2,Therm_cond.2,Elec_cond.2,Heat_fusion.2,Heat_vap.2,Electronegativity.2,At_num.2,Period.2,Group.2,Valence.2,Ox_state.2,SOAP1,SOAP2,SOAP3,SOAP4,SOAP5,SOAP6
0,II-VI,ZnO,M_i_neut,Tc,7.393611,13.105611,-0.060513,1.077057,2.156374,2.089858,3.541464,2.771087,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,429.16,672.37,672.37,672.37,179.3,179.3,179.3,114.44,,,0.56,4538.0,2477.0,11.5,98.0,14.2,1.27,702.0,1.36,70.0,1.95,8.5,53,7.28,15.26,8.0,0.24,50.6,0.0,23.0,502.0,1.9,43,5,7,7,7,4.51651776898542,1.6272628423404136e-06,4.516517768985426,1.6272628423404352e-06,0.007185296818542799,1.1219491403900527e-35
1,II-VI,ZnO,M_B,Ge,3.421253,12.976211,-0.435348,0.180725,1.244385,1.974179,2.583816,3.538129,,,,,-3.26,4.63,0.62,5.49,5.37,0.74,1180,692.73,7.13,65.39,15.1,1.25,906.4,1.33,0.0,1.53,9.2,69,9.39,17.96,30.2,0.39,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,1.4,90.19,54.8,1.43,16.0,17.3,0.73,1313.9,0.73,141.1,0.65,14.0,87,13.62,35.12,780.0,0.92,0.27,0.0,0.22,3.41,3.44,8,2,16,2,2,,,479.07,479.07,479.07,479.07,2048.0,78.23,78.23,78.23,,,0.53,3107.0,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,4.557811196506845,8.409463094278038e-33,4.27739898422176,4.717051800655213e-33,0.0044509874965887155,9.279552353909114e-36
2,III-V,BN,M_B,F,7.784592,12.883516,-2.417781,2.286439,3.628328,5.497612,6.667351,7.420386,,,,,-7.65,3.63,4.45,5.83,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,28.66,28.66,28.66,28.66,97.53,24.57,24.57,24.57,,,1.33,85.0,53.55,1.7,19.0,16.4,0.72,1681.0,0.72,328.0,0.57,12.6,93,17.42,34.97,1800.0,0.82,0.03,12.0,0.26,3.27,3.98,9,2,17,1,1,14.249773405024122,1.7948657790258758e-33,13.373078361550926,2.2408576685600484e-33,0.01391579434084395,2.3336044408234983e-35
3,IV-IV,GeC,M_i_neut,Cl,12.577776,12.764068,-1.291456,-0.5,0.930116,0.930116,2.707577,3.460955,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,181.89,284.96,284.96,284.96,53.43,53.43,53.43,34.1,,,1.81,239.18,172.17,3.21,35.45,29.0,0.99,1251.1,0.99,348.8,0.97,16.9,94,12.97,23.81,0.0,0.48,0.01,0.0,3.21,10.2,3.16,17,3,17,7,1,4.63315243591369,1.6316407085416245e-06,4.6331524359137,1.6316407085416204e-06,0.007393284176341233,2.721557298661318e-35
4,IV-IV,C,M_A,Mo,12.708806,12.71282,-1.966556,-0.884346,0.711833,3.579084,4.972098,6.259124,,,,,0.0,3.57,4.12,9.49,0.46,0.16,5100,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,3933.4,99.72,99.72,99.72,162.85,162.85,162.85,162.85,,,0.59,4912.0,2896.0,10.22,95.94,15.5,1.3,684.9,1.36,96.0,2.01,9.4,50,7.1,16.46,4.8,0.25,138.0,17.3,36.0,590.4,2.16,42,5,6,6,6,60.46526461206102,6.909287741045778e-33,60.46526461206102,6.909287741045778e-33,0.015234382618307203,2.7257951846460666e-35
5,III-V,BSb,M_i_B,Ca,8.654484,12.511508,-0.469822,0.552169,1.076382,1.395278,1.627818,1.885059,,,,,0.71,5.27,0.76,29.59,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.76,1860.0,903.91,6.69,121.76,30.2,1.4,833.7,1.59,101.0,1.53,18.23,85,8.64,16.53,11.0,0.21,24.3,2.6,19.83,67.97,2.05,51,5,15,5,3,,,37.93,37.93,37.93,21.9,446.73,446.73,446.73,446.73,,,1.0,1757.0,1112.0,1.55,40.08,44.1,1.74,589.8,1.97,-156.0,2.23,25.9,7,6.11,11.87,22.3,0.65,200.0,31.3,8.53,154.67,1.0,20,4,2,2,2,2.902128150692491,2.5173115744492497e-33,2.8866339864587625,2.562244927290785e-33,0.0037429078727172554,2.0760654899126877e-35
6,III-V,BAs,M_i_neut,Te,12.390311,12.421978,-0.577904,0.477692,1.075617,1.635775,2.062998,2.471385,,,,,-0.07,4.81,1.22,25.4,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.58,876.0,1090.0,5.78,74.92,21.5,1.2,947.0,1.39,77.0,1.33,13.1,84,9.81,18.63,15.4,0.33,50.0,3.8,27.7,32.4,2.16,33,4,15,5,3,,,83.26,130.44,130.44,130.44,860.94,860.94,860.94,549.52,,,0.97,1261.0,722.72,6.24,127.6,33.9,1.36,869.2,1.6,190.15,1.42,20.5,90,9.01,18.6,18.8,0.2,2.35,0.0,17.49,50.63,2.1,52,5,16,6,4,3.913334099307107,1.5581065435478106e-06,3.913334099307108,1.5581065435478345e-06,0.006091926456036281,1.9393268376135876e-35
7,IV-IV,GeC,M_i_B,Cd,11.115172,12.206677,-0.882713,1.441789,2.240143,2.676245,3.164628,3.605579,,,,,0.75,4.6,1.65,24.29,1.35,0.53,3107,1211.5,5.32,72.61,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79,7.9,15.93,5.7,0.32,59.9,0.0,31.8,334.3,2.01,32,4,14,4,4,0.16,5100.0,3825.0,2.26,12.01,5.6,0.77,1086.4,0.91,122.3,0.91,4.58,77,11.26,24.38,1.0,0.71,1.7,0.07,105.0,715.0,2.55,6,2,14,4,4,,,667.14,667.14,667.14,385.17,144.44,144.44,144.44,144.44,,,0.95,1040.0,594.26,8.65,112.41,21.5,1.41,867.7,1.49,0.0,1.71,13.1,70,8.99,16.91,30.8,0.23,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,4.637289786948044,2.8926713320826415e-33,4.616038299791712,7.778717945316993e-34,0.006883345663438314,6.280020834688352e-35
8,III-V,BP,M_i_B,Zr,12.276989,12.189989,0.010508,0.548323,1.163855,1.54461,2.073813,2.592478,,,,,-0.81,4.55,1.26,12.73,0.0,0.23,4275,2365.0,2.34,10.81,7.7,0.82,800.6,0.98,27.0,1.17,4.6,72,5.3,25.15,4.7,1.03,27.0,0.0,22.6,507.8,2.04,5,2,13,3,3,0.17,553.0,317.3,1.82,30.97,18.9,1.06,1011.7,1.28,71.7,1.23,17.0,83,10.49,19.73,127.0,0.77,0.23,0.0,0.63,12.4,2.19,15,3,15,5,5,,,87.92,87.92,87.92,50.76,304.56,304.56,304.56,304.56,,,0.84,4682.0,2128.0,6.51,91.22,23.2,1.45,660.0,1.6,50.0,2.16,14.1,44,6.34,13.13,5.7,0.28,22.7,2.3,21.0,590.5,1.33,40,5,4,4,4,4.8437532094404,1.7512707274138944e-33,4.822190888802957,1.1935692622697558e-33,0.007249471997941581,7.109245421122829e-35
9,III-V,GaN,M_B,Ag,6.084133,12.146177,-1.046118,1.614444,2.349557,3.114495,3.690092,4.436649,,,,,-6.13,4.55,1.55,15.0,0.26,0.62,2478,302.92,5.91,69.72,19.6,1.26,578.8,1.41,29.0,1.81,11.8,74,6.0,20.51,19.7,0.37,40.6,1.8,5.59,256.06,1.81,31,4,13,3,3,1.71,77.34,63.15,1.25,14.01,22.6,0.75,1402.3,0.92,-7.0,0.75,17.3,82,14.53,29.6,240.0,1.04,0.03,0.0,0.36,2.79,3.04,7,2,15,5,3,,,739.8,739.8,739.8,739.8,5152.34,102.3,102.3,102.3,,,1.15,2436.0,1235.08,10.5,107.87,17.0,1.34,731.0,1.44,125.7,1.75,10.3,65,7.58,21.49,18.9,0.23,429.0,62.9,11.3,250.63,1.93,47,5,11,2,1,4.879882595668207,2.144720869782331e-33,4.579655443786262,1.5138558082424496e-33,0.004765510347332224,3.5365584695279057e-35
